3, -5, 26, -11, 2, -20, 17, 12
-13, 26, -57, -82, -12, 27, -44, -8
-18, -18, 0, -32, -13, 5, 43, 2
-17, -7, -15, 65, 15, 21, 33, -25
-36, 66, -78, 11, -5, 26, -66, -10
13, -1, -71, 28, 12, -7, 3, 24
16, 4, -54, 47, 17, 23, 20, 3
-64, 55, 46, -65, -3, 0, 0, -15
-39, 0, 22, 10, 21, -15, -4, 7
-18, 21, 8, 44, 22, -23, -33, 12
-26, 62, 67, -32, 47, -6, 1, -10
-25, 49, 91, 22, 35, 13, 23, 23
-28, -24, 30, 11, -28, -24, 4, 34
22, -51, -2, 44, 0, -37, -3, -50
-8, 28, 70, 63, 13, 3, 27, -30
-45, 15, 8, 1, -14, -9, 20, 48
11, 10, 21, -44, 15, -23, -4, -1
-11, 51, 25, -60, 18, 31, 7, -38
-15, 40, -34, 26, -4, -11, 11, -24
6, -3, -1, 75, 44, -27, -16, 16
9, -19, -35, 47, 38, 1, -37, 17
26, -12, 32, -40, 31, -33, -2, -8
-31, -5, 14, 20, 43, 10, -2, -8
-14, -11, -86, 115, -36, 35, -15, -41
11, -16, -4, 0, 5, 4, 0, 5
9, 17, 55, -29, 31, -35, -3, -1
19, -9, -19, -61, -16, -27, -39, -63
-10, -49, -26, -63, 28, 16, -36, -1
2, -67, 45, 77, -4, -12, -45, 5
-11, -36, -67, 51, -16, 9, -55, -33
9, -22, -30, -1, 23, -6, 48, -2
8, -22, 67, 16, 13, -32, 6, 1
28, 18, -16, -44, 37, 7, -95, -38
50, -27, 19, 37, -7, -13, -14, -9
-50, -16, 24, 60, -26, -6, 47, 40
5, -5, -66, -66, 33, 7, 16, -23
57, -42, -88, -28, -9, 14, -15, -38
25, -8, 81, 17, 4, 47, 2, 28
3, -2, 126, 48, 40, 40, 2, -5
-44, -47, -43, 90, 7, 14, -27, 10
4, -43, -22, 13, 3, 15, -9, 12
-3, 9, 8, 1, -4, 5, -35, -33
-19, 9, 20, 75, 29, 4, -28, 43
-4, -29, 22, -14, 32, 49, 1, 16
-17, -18, -19, -62, 20, -3, 15, -28
-16, -3, 41, 8, -3, -33, 78, 32
-35, -56, -2, 0, -46, 8, -10, -3
-3, -40, -5, 37, 5, -34, -37, 2
-34, 24, 60, -13, 9, -13, 20, 4
-42, 10, -7, -103, -3, -30, -19, -42
8, 5, 23, 37, -16, -43, 9, 26
-13, 4, 75, 76, -14, 24, 3, 55
-16, -11, -21, -27, 50, -8, -5, 29
-8, 10, -89, 6, 12, -12, 25, -9
19, 8, -80, 74, -2, 20, 35, -12
-27, -31, -80, 44, -21, 27, 10, 20
-34, -17, -30, -52, -52, -22, -35, -2
32, 1, 80, -33, 21, -40, 42, 11
-15, -29, 72, 43, 22, 22, 32, 29
-23, -56, -47, 24, -26, 8, -49, 31
-17, -11, -47, 36, -25, 21, -30, 4
-35, 7, 61, 19, 35, 16, -6, -5
22, -30, 23, -17, 34, -20, 27, -28
49, 6, -15, 34, -8, 43, -7, -50
40, -16, 51, 18, 26, 45, 16, 12
-2, -40, 23, 21, 36, 1, 67, 22
-36, 6, 44, 20, 34, 4, 4, 21
13, 13, 78, -41, 8, -27, 19, 7
55, 18, 24, 33, 0, -26, 13, -22
16, -17, -10, 51, -9, 6, 27, -26
-48, -35, -26, -57, 19, -11, 22, -41
-3, 32, -33, -14, 47, 16, -75, 6
-38, 64, -34, -25, -31, 27, 1, 27
-58, 4, 6, -73, 0, -2, 6, -1
7, -37, 9, 32, 14, 4, -52, 15
-53, -30, -16, 4, 5, -10, -6, 6
19, -29, 21, -39, 40, -5, 4, 7
37, -12, 7, 52, -5, -25, -21, 21
-51, -38, -28, 17, 3, -43, -34, -14
32, -12, -18, -29, 27, 15, -9, 23
54, 23, -55, 35, -33, 20, 17, 21
20, -55, -50, 56, -38, 26, 9, -11
30, -31, -3, 17, 0, 42, -5, 19
-21, -10, 20, -42, -33, 6, 29, 12
-16, 13, 53, 27, -45, -19, 17, -35
22, 59, -25, 63, -27, -5, -30, -55
-13, -6, -70, -5, 2, 19, 10, -2
9, 3, 31, 5, 22, -19, 68, 2
2, 13, 27, 32, 2, 14, 20, 24
-2, 12, -115, 10, 24, 35, -73, 3
34, 19, -33, -28, 11, -89, -30, -21
8, -21, 171, -53, -93, -47, 41, -6
5, 0, 51, 50, -11, 6, 35, -11
1, -12, 11, 226, 67, -18, 14, 95
-37, 24, 50, -18, -69, 53, 2, 7
-34, 86, -42, -192, -3, 17, 42, -22
27, -4, 1, -4, 51, -7, 47, 61
-2, -48, -66, 0, 22, -1, -34, 13
-10, -13, -17, 3, 32, -28, -6, 75
37, -11, 73, 6, -17, 20, 54, 26
-11, -24, -49, -22, -2, 20, -36, -55
-23, -35, 52, -4, -39, -8, 8, 10
11, -25, 52, -29, -19, 37, 52, 12
48, 13, -104, 12, 18, 73, -58, -35
21, 20, -29, 54, -35, 30, -31, -24
